Flood?,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Avg Temp
0,75,2,3.4,9.2,31.15
0,82,1.8,4.5,6.9,29.95
1,88,1.6,5.9,4.5,30.25
1,91,1.5,6.1,4,29.8
1,89,1.3,5.6,4.7,30.45
0,87,0.8,5.3,6.1,30.15
1,88,0.5,2.9,6.2,28.6
0,77,0.3,0.8,10,24.85
0,76,0.4,1.6,7.1,21.1
0,79,0.6,1.6,8.4,20.55
0,76,0.5,1.5,7.8,24.4
0,77,1,3.6,6.6,26.5
1,84,1.3,4.4,7.4,28.35
1,84,1.1,5.2,6.6,29
1,85,1.1,5.6,4.3,30.4
1,91,1,6.3,2.5,28.7
0,88,1.4,5.7,4.7,29.55
0,86,0.7,5,5.3,30.2
0,81,0.2,2.1,8.1,28.25
0,76,0.3,1.2,8.9,25.2
0,76,0.6,2.1,7.5,20.85
0,74,0.2,0.4,8.1,21.1
0,76,0.3,2.2,8.3,23.4
0,71,0.6,2.4,9.6,27.25
0,79,1.7,4.3,9.4,28.5
0,76,1,2.7,9.2,31.45
1,87,1.1,5.9,3.9,31.7
0,86,1.3,5.5,5.3,30.1
1,89,1.7,6.3,4.3,28.7
0,84,0.9,4.7,7,29.6
0,80,0.3,1.9,8.4,28.55
0,78,0.3,1.5,7.8,24.9
0,76,0.3,0.5,8.3,20.1
0,77,0.3,1.2,7.7,20.05
0,73,0.6,2.4,7.7,22.9
0,76,1.4,2.6,8.4,28.25
0,76,2,3.1,9.1,29.85
1,81,1.5,4.3,8.4,30.05
1,86,1.3,5.6,5.1,30.3
1,86,1.3,6.1,3.7,30.1
1,89,1.3,6.2,3.7,29.7
1,91,0.9,5.9,5.5,29.95
0,92,0.4,3.8,6.9,29.2
0,84,0.3,2.3,8.1,26.4
0,83,0.3,1.4,8.1,20.6
0,83,0.3,1.4,8.2,19.65
0,77,0.5,1.8,8.4,23
0,74,1.1,1.6,8.2,28.15
0,82,1.8,4,7.8,30.05
1,85,2,5.9,7,30
1,90,1.3,7.2,3.7,30.45
1,90,1.3,6.9,4.2,28.85
1,90,1.1,7.1,3.5,30.4
1,88,0.8,5.1,5.8,29.55
0,89,0.5,4.2,6.7,29.2
0,83,0.2,0.9,8.3,24.05
0,84,0.4,1.4,8.1,21.25
0,84,0.2,1.4,7.5,21.4
0,77,0.6,1.1,8.6,22.85
0,81,1.8,3.6,7.5,29.55
0,81,1.9,4.7,8.4,30.6
1,88,1.7,5.1,7.9,29.6
1,91,1.5,6.3,3.9,31
1,93,1.5,6.8,3.3,29.9
1,90,1.5,6.7,5.2,30.45
0,90,1,5.9,5.1,30
0,86,0.5,2.5,8.6,28.65
0,85,0.3,1.6,8.3,24.8
0,84,0.2,0.7,8.4,21.7
0,86,0.3,1.4,7.1,20.5
0,81,0.3,1.5,8.6,23.35
0,75,0.8,1.2,8.4,29.4
0,80,1.7,4.5,8,29.3
0,83,0.7,3.7,8.3,30.25
1,87,1.3,5.7,4.9,30.95
1,91,0.8,6.4,3.9,30.35
1,87,0.8,5.9,5,30.6
1,92,0.6,6.1,3.4,29.9
0,88,0.2,3.3,7.6,27.85
1,88,0.2,2.7,7.3,26.4
0,88,0.1,1.4,8.1,21.9
0,84,0.3,0.6,8.6,20.6
0,80,0.2,1.4,8.1,24.05
0,77,0.9,2.9,8,28.55
0,82,1.5,4.2,7.7,30.6
0,82,0.9,3.7,8.4,30.6
1,85,1.5,5.7,5.1,33.1
1,94,0.9,7,1.8,29.6
1,90,0.9,6.4,3.6,29.7
1,89,0.6,6,4,30
0,86,0.1,2.1,8.5,28.95
0,84,0.2,2.7,7.1,26.05
0,83,0.1,1.3,8.3,21.55
0,81,0.2,0.5,8.3,20.05
0,79,0.3,1.6,7.9,23.3
0,77,0.7,3,8.2,28.15
0,79,1.1,4,8,30.65
1,84,1.4,5.6,6.2,30
1,88,1.2,6,3.8,30
1,90,1.3,6.5,4,29.7
1,91,1.3,7.1,2.8,29.3
0,88,0.5,5.7,6.1,30.45
0,87,0.3,3.2,7.4,28.5
0,86,0.6,2.5,7.6,25.2
0,84,0.2,0.7,8.1,22.45
0,79,0.3,0.3,8.3,18.65
0,75,0.6,0.9,8.8,23.65
0,70,0.7,2,8.8,28.05
0,80,2.2,3.7,9,30.1
0,84,1.7,4.6,7.8,30.75
0,87,1.3,6,5.5,30.1
1,89,1.3,6.3,4.9,29.5
0,88,1,5.7,4.3,29.05
1,90,0.6,5.7,4.9,29.05
1,90,0.3,4.4,4.8,29.15
0,84,0.1,1.1,8.5,24.9
0,81,0.3,0.6,8.3,20.4
0,83,0.3,0.5,7.1,21.2
0,81,0.4,3.2,7.2,24.55
0,82,0.7,4,8.1,26.3
0,82,1.9,4.8,8.4,28.75
1,85,0.7,5.3,6.6,29.65
1,89,1.4,6.4,3.4,32.4
1,92,1,6.9,2.9,28.95
1,87,1,5.6,6,29.8
0,89,0.8,5.7,5.4,29.6
0,86,0.5,4,6.2,28.1
0,85,0.2,2.9,6.7,26.55
0,82,0.2,1.5,7.2,21.55
0,82,0.2,1.6,6.8,20.35
0,80,0.5,1,8.1,24.85
0,78,0.6,1.9,8.9,29
0,79,1.5,4.2,7.9,30.15
0,86,2.5,6.1,5.8,29
1,90,1.3,6.6,3,29.75
1,88,1.5,6.5,3.9,29.5
1,89,1.2,6.7,4.2,30.4
1,90,0.6,6.4,3.4,29.25
1,89,0.5,4.5,5.5,28.6
0,82,0.2,2.2,6.8,24.2
0,82,0.2,1.8,6.8,21.4
0,81,0.2,0.6,7,19.8
0,82,0.6,2,7.3,22.4
0,77,1.3,2.2,7.9,29.1
0,79,1.9,2.9,8.4,31.55
0,83,1.3,4.1,7.2,29.7
0,88,1.2,5.5,5,30.45
1,90,1.3,6.9,2.6,30.5
1,91,1.2,6.1,4.6,29.8
0,88,0.8,4.7,5.5,30.1
0,88,0.4,3.2,7.3,28.8
0,83,0.1,3.2,6.4,25.65
0,82,0.3,0.5,7.5,20.1
0,83,0.2,0.8,6.8,20.05
0,83,0.7,1.2,8.1,23.95
0,77,0.8,2,7.9,26.95
0,83,1.2,3.9,8.8,29.3
1,87,1.6,5.2,6.9,29.15
1,89,2.1,6.1,4.9,29.95
1,90,2.1,6.4,3.9,29.35
1,91,1.5,6.6,3.5,29.75
0,89,0.9,5.9,4.1,29.8
0,87,0.3,3.5,6.6,28.7
0,86,0.1,1.3,7.9,25.05
0,81,0.2,1.3,7.6,21.65
0,71,0.4,0.4,7.7,20.9
0,72,0.4,1.4,7.8,22.8
0,73,1.3,2.5,8.1,28.05
0,77,0.8,3.5,8,29.8
0,83,1,4.2,7.5,30.65
1,89,1.2,6.4,3.3,30.5
1,88,1.3,6.4,4.2,29.45
1,88,1.1,6.4,4.2,29.2
0,83,0.8,4.5,6.4,29.55
0,80,0.1,2.9,7,28.65
0,78,0.2,2.8,6.6,25.5
0,76,0.2,0.5,7.8,21.05
0,73,0.4,1.7,6.8,19.85
0,73,0.3,2.1,7,23
0,68,0.5,1.3,8.7,27.95
0,75,1.2,2.7,9.1,31.4
0,84,1.6,5.2,6,31.6
1,88,1.1,6,3.2,30.1
1,88,1.4,6.7,3.4,29.55
1,87,1.2,6,5.3,30.1
0,87,0.8,6.1,3.5,29.9
0,84,0.1,3.5,6.6,28.95
0,81,0.4,3.1,6.4,26.35
0,71,0.1,0.2,7.3,21.35
0,80,0.2,0.5,8.2,20.9
0,76,0.4,1.6,8.7,23.25
0,77,1.2,2.7,8,28.75
0,82,1.2,3.5,7.5,30.05
0,84,2.3,4.7,7.5,30.95
1,87,1.8,5.4,4.8,30.35
1,88,1.6,5.9,3.3,30.35
1,91,1,6,2.6,29.85
0,88,0.3,5.3,4.4,31.55
1,86,0.5,3.1,7.6,29.2
0,84,0.1,1.4,8.3,25.95
0,81,0.1,1.6,6.2,21.8
0,79,0.3,1.1,7.5,19.45
0,79,0.5,1.5,8.1,23
0,81,0.9,3.1,7.6,28.05
0,84,1.1,4.6,7.4,27.95
1,84,1.6,5.3,7.1,29.9
1,86,2.1,6.4,4.6,30.35
1,91,1.6,6.9,3.1,29.55
0,89,1.4,6.4,4.4,30.7
1,91,0.7,6.1,4.1,29.3
0,84,0.1,2.1,8.5,28.3
0,85,0.2,2,7.3,26.25
0,89,0.4,2.1,4.2,21.5
0,88,0.7,2.4,5.5,20.4
0,79,0.5,2,7.2,23.45
1,75,0.9,2.6,8.1,26.2
1,81,1.4,3.8,8.1,29.05
0,84,1.4,5.2,4.7,30.5
1,86,2.3,5.7,3.1,30.65
1,92,1.7,6.8,1.9,29.8
1,91,1.1,6.3,2.8,29.85
1,89,0.6,5.5,4.1,30.4
0,87,0.4,3.7,6.1,30.2
1,85,0.3,2.5,7.5,27.2
0,83,0.2,0.3,8.7,23
0,82,0.5,0.4,8.2,21.05
0,78,0.7,1.1,7.8,24.95
0,74,1.1,1.8,5.9,29.25
0,79,1.9,3.4,7.6,30.75
1,86,2.2,5.7,3.8,30.35
1,88,1.9,6.6,3.1,31.05
1,91,1.6,7,2.9,29.55
1,91,1.4,7.1,2.6,29.7
1,89,1,6.6,3.7,30.35
1,89,0.6,5.3,4.9,29.05
0,82,0.1,1.2,8.7,26.15
0,82,0.1,0.8,8.1,21.85
0,81,0.4,0.9,7.9,21.2
0,78,0.4,3.8,6.6,21.75
0,77,1.1,3.1,6.3,27.2
0,80,2.4,4.3,5.5,29.25
1,83,1.3,6,4.4,30.3
1,90,1.6,6.7,2.7,29.9
1,88,1.7,6.4,3.8,30.2
1,87,1.5,6.6,3.6,30.1
1,89,0.8,5.8,4.1,29.5
0,89,0.4,3.9,6.4,29.45
0,87,0.1,1.1,8.7,26.1
0,82,0.1,0.2,9.4,20.85
0,81,0.1,0.3,8.9,19.8
0,79,0.6,1.4,8.6,23.5
0,75,0.5,2,8,27.3
0,77,1.5,3.8,6.8,30.6
1,87,1.3,5.3,5,29.65
1,94,1.6,7.3,1.9,29.75
1,91,2,7.1,3.8,29.15
0,87,1.3,6.1,4.8,29.85
0,89,0.7,5.5,4.2,29.85
1,89,0.3,4.6,6.5,29.5
0,89,0.1,3,6.6,26.25
0,86,0.1,0.8,7.6,21.55
0,85,0.1,1.8,6.9,21
0,77,0.3,0.7,9.4,24.1
0,72,0.6,2.3,8,27.9
0,80,1.8,4.8,8.6,28.6
1,83,1.9,5.9,7.2,29.75
1,89,1.3,6.7,3.5,30.5
1,90,1.1,7.3,2.7,30.2
1,89,1,6.4,5,30
1,92,0.5,5.7,4.8,30.25
0,88,0.1,3.4,7.6,28.9
0,85,0.2,3.2,7.9,26.4
0,83,0.1,0.3,8.2,22.35
0,81,0.2,1.4,7.4,19.85
0,75,0.3,1.4,8.2,23.8
0,77,0.6,2.9,7.8,27.15
0,85,1.9,4.4,8.1,30.2
0,86,1.6,5.1,7.4,30.7
1,92,1.9,7,2.7,31.1
1,92,1.5,6.4,4.8,30.35
0,87,1.2,6.2,5.8,30.45
0,88,0.5,5.6,4.7,30.2
1,89,0.2,4.6,5.8,29.5
0,83,0,0.4,8.7,25.3
0,84,0,1.7,6.2,22.1
0,82,0.2,2.3,6,21
0,77,0.4,1.2,8.1,24.15
0,76,1.2,3,7.5,29.1
0,80,2.5,5.1,7,29.35
0,78,1.6,4.2,7.2,31.3
1,87,0.8,6,2.5,30.7
0,87,1.6,6.9,3.5,29.85
1,90,1.4,6.7,4,29.75
1,91,0.8,6.4,3.7,29.85
0,89,0.3,2.8,7.4,28.45
0,89,0.1,0.6,7.7,24.45
0,87,0,0.5,6.9,22.2
